"DEPP","CODCOMP","COMP","Commune.pôle","DEP","code_insee","COM","nom_commune","population_mun","PCAP","population_tot"
74,10,74010,"Annecy",74,10,74010,"Annecy",54326,1246,55572
50,129,50129,"Cherbourg-en-Cotentin",50,129,50129,"Cherbourg-Octeville",34948,994,35942
59,350,59350,"Lille",59,355,59355,"Lomme",28082,217,28299
78,158,78158,"Le Chesnay-Rocquencourt",78,158,78158,"Le Chesnay",27184,548,27732
74,10,74010,"Annecy",74,268,74268,"Seynod",23347,536,23883
74,10,74010,"Annecy",74,11,74011,"Annecy-le-Vieux",22862,525,23387
59,183,59183,"Dunkerque",59,540,59540,"Saint-Pol-sur-Mer",20094,286,20380
74,10,74010,"Annecy",74,93,74093,"Cran-Gevrier",18431,423,18854
59,350,59350,"Lille",59,298,59298,"Hellemmes-Lille",18538,143,18681
50,129,50129,"Cherbourg-en-Cotentin",50,602,50602,"Tourlaville",16081,457,16538
